Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Critic_Score,User_Score
32,Wii Sports,Wii,2006.0,Sports,Nintendo  ,41.36,29.02,3.77,8.51,7.7,
52,Mario Kart 8 Deluxe,NS,2017.0,Racing,Nintendo  ,5.05,4.98,2.11,0.91,9.3,
81,Super Mario Bros.,NES,1985.0,Platform,Nintendo  ,29.08,3.58,6.81,0.77,10.0,8.2
87,Mario Kart Wii,Wii,2008.0,Racing,Nintendo  ,15.91,12.92,3.8,3.35,8.2,9.1
94,Tetris,GB,1989.0,Puzzle,Nintendo  ,23.2,2.26,4.22,0.58,,
96,Super Smash Bros. Ultimate,NS,2018.0,Fighting,Nintendo  ,4.22,1.72,2.41,0.61,9.4,9.7
102,Wii Sports Resort,Wii,2009.0,Sports,Nintendo  ,15.61,10.99,3.29,3.02,8.0,8.8
106,The Legend of Zelda: Breath of the Wild,NS,2017.0,Action-Adventure,Nintendo  ,4.54,2.94,1.26,0.73,9.9,10.0
107,Pokémon Red / Green / Blue Version,GB,1998.0,Role-Playing,Nintendo  ,11.27,8.89,10.22,1.0,9.4,
114,New Super Mario Bros.,DS,2006.0,Platform,Nintendo  ,11.28,9.19,6.5,2.89,9.1,8.1
116,New Super Mario Bros. Wii,Wii,2009.0,Platform,Nintendo  ,14.53,7.01,4.7,2.27,8.6,9.2
131,Duck Hunt,NES,1985.0,Shooter,Nintendo  ,26.93,0.63,0.28,0.47,,
133,Wii Play,Wii,2007.0,Misc,Nintendo  ,13.96,9.18,2.93,2.85,5.9,4.5
136,Super Mario Odyssey,NS,2017.0,Platform,Nintendo  ,5.1,3.75,2.02,0.84,9.9,
156,Kinect Adventures!,X360,2010.0,Party,Microsoft Game Studios  ,15.09,4.97,0.24,1.81,6.7,
158,Nintendogs,DS,2005.0,Simulation,Nintendo  ,9.05,10.96,1.93,2.74,8.4,
159,Mario Kart DS,DS,2005.0,Racing,Nintendo  ,9.71,7.51,4.13,1.91,9.1,9.4
162,Pokémon Gold / Silver Version,GB,2000.0,Role-Playing,Nintendo  ,9.0,6.18,7.2,0.71,9.2,
163,Terraria,PC,2011.0,Platform,Re-Logic  ,,0.13,,0.01,8.8,
165,Marvel's Spider-Man,PS4,2018.0,Action-Adventure,Sony Interactive Entertainment  ,3.64,3.39,0.32,1.41,9.1,
166,Wii Fit,Wii,2008.0,Sports,Nintendo  ,8.92,8.03,3.6,2.15,7.9,
174,Wii Fit Plus,Wii,2009.0,Sports,Nintendo  ,9.01,8.51,2.53,1.76,8.0,
175,God of War (2018),PS4,2018.0,Action,Sony Interactive Entertainment  ,2.83,2.17,0.13,1.02,9.7,10.0
179,Super Mario Party,NS,2018.0,Party,Nintendo  ,2.12,1.64,0.85,0.36,7.3,
180,Super Mario World,SNES,1991.0,Platform,Nintendo  ,12.78,3.75,3.54,0.55,8.5,
183,Grand Theft Auto V,PS3,2013.0,Action,Rockstar Games  ,6.37,9.85,0.99,3.12,9.4,
200,Grand Theft Auto V,PS4,2014.0,Action,Rockstar Games  ,6.06,9.71,0.6,3.02,9.7,
201,Horizon: Zero Dawn,PS4,2017.0,Action-Adventure,Sony Interactive Entertainment  ,2.2,2.43,0.28,0.92,9.1,8.0
203,Brain Age: Train Your Brain in Minutes a Day,DS,2006.0,Misc,Nintendo  ,4.74,9.21,4.16,2.04,8.1,
208,Mario Kart 7,3DS,2011.0,Racing,Nintendo  ,6.03,5.35,3.0,1.11,8.2,
209,Uncharted 4: A Thief's End,PS4,2016.0,Action,Sony Interactive Entertainment  ,4.49,3.93,0.21,1.7,9.2,
210,The Last of Us Remastered,PS4,2014.0,Action-Adventure,Sony Computer Entertainment  ,2.7,2.86,0.11,1.1,9.5,
212,Super Mario Land,GB,1989.0,Platform,Nintendo  ,10.83,2.71,4.18,0.42,,
217,Pokémon Diamond / Pearl Version,DS,2007.0,Role-Playing,Nintendo  ,6.38,4.47,6.04,1.36,8.6,
220,Grand Theft Auto: San Andreas,PS2,2004.0,Action,Rockstar Games  ,9.43,0.4,0.41,10.57,9.5,
221,Super Mario Bros. 3,NES,1990.0,Platform,Nintendo  ,9.54,3.44,3.84,0.46,,
231,Pokémon X/Y,3DS,2013.0,Role-Playing,Nintendo  ,5.68,5.06,4.4,0.99,8.9,9.3
234,Pokémon Sun/Moon,3DS,2016.0,Role-Playing,Nintendo  ,6.02,4.34,3.82,0.99,9.0,
235,Pokémon Ruby / Sapphire Version,GBA,2003.0,Role-Playing,Nintendo  ,6.06,3.9,5.38,0.5,8.8,
237,Grand Theft Auto: Vice City,PS2,2002.0,Action,Rockstar Games  ,8.41,5.49,0.47,1.78,9.6,
244,The Witcher 3: Wild Hunt,PC,2015.0,Role-Playing,Warner Bros. Interactive Entertainment  ,0.29,0.55,,0.07,,
245,Grand Theft Auto V,X360,2013.0,Action,Rockstar Games  ,9.06,5.33,0.06,1.42,,
248,Pokémon Black / White Version,DS,2011.0,Role-Playing,Nintendo  ,5.51,3.2,5.66,0.8,8.6,9.0
252,Call of Duty: Black Ops 3,PS4,2015.0,Shooter,Activision  ,6.18,6.05,0.41,2.44,8.1,
255,Counter-Strike: Source,PC,2004.0,Shooter,VU Games  ,,0.07,,0.01,9.3,
271,Sonic the Hedgehog,GEN,1991.0,Platform,Sega  ,3.03,0.91,0.26,0.13,,
273,Gran Turismo 3: A-Spec,PS2,2001.0,Racing,Sony Computer Entertainment  ,6.85,5.09,1.87,1.16,9.3,
274,Brain Age 2: More Training in Minutes a Day,DS,2007.0,Misc,Nintendo  ,3.43,5.36,5.32,1.18,8.0,
276,Call of Duty: Modern Warfare 3,X360,2011.0,Shooter,Activision  ,9.07,4.29,0.13,1.33,8.7,
277,Call of Duty: Black Ops,X360,2010.0,Shooter,Activision  ,9.76,3.73,0.11,1.14,8.8,
279,Pokémon Yellow: Special Pikachu Edition,GB,1999.0,Role-Playing,Nintendo  ,5.89,5.04,3.12,0.59,8.7,
280,Pokémon Omega Ruby/Pokémon Alpha Sapphire,3DS,2014.0,Role-Playing,Nintendo  ,4.78,3.98,3.15,0.82,,
284,Halo 3,X360,2007.0,Shooter,Microsoft Game Studios  ,7.97,2.81,0.13,1.21,9.6,9.5
297,Red Dead Redemption 2,PS4,2018.0,Action-Adventure,Rockstar Games  ,5.26,6.21,0.21,2.26,9.8,
299,Call of Duty: Black Ops II,X360,2012.0,Shooter,Activision  ,8.27,4.32,0.07,1.2,8.4,
300,Call of Duty: Black Ops II,PS3,2012.0,Shooter,Activision  ,4.99,5.88,0.65,2.28,8.0,
301,Splatoon 2,NS,2017.0,Shooter,Nintendo  ,1.9,1.8,3.01,0.34,8.2,
302,Call of Duty: Modern Warfare 2,X360,2009.0,Shooter,Activision  ,8.54,3.63,0.08,1.28,9.5,9.0
307,New Super Mario Bros. 2,3DS,2012.0,Platform,Nintendo  ,3.95,4.07,2.59,0.72,7.5,
308,Call of Duty: WWII,PS4,2017.0,Shooter,Activision  ,4.67,6.21,0.4,2.12,8.1,
309,Call of Duty: Modern Warfare 3,PS3,2011.0,Shooter,Activision  ,5.54,5.78,0.49,1.54,8.8,
310,Super Smash Bros. Brawl,Wii,2008.0,Fighting,Nintendo  ,6.64,2.57,2.67,1.03,9.2,9.7
315,Grand Theft Auto III,PS2,2001.0,Action,Rockstar Games  ,6.99,4.51,0.3,1.3,9.5,
317,Portal 2,PC,2011.0,Shooter,Valve  ,0.33,0.33,,0.1,9.7,
318,Animal Crossing: New Leaf,3DS,2013.0,Simulation,Nintendo  ,2.46,3.06,4.9,0.48,8.6,
321,Minecraft,X360,2013.0,Misc,Microsoft Studios  ,5.96,2.94,0.02,0.9,,
324,Gran Turismo Sport,PS4,2017.0,Racing,Sony Interactive Entertainment  ,0.63,2.35,0.24,0.54,,
326,Super Mario 3D Land,3DS,2011.0,Platform,Nintendo  ,5.1,3.46,2.15,0.85,8.9,
327,Super Mario Galaxy,Wii,2007.0,Platform,Nintendo  ,6.06,3.38,1.2,0.76,9.7,9.6
328,Pokémon Heart Gold / Soul Silver Version,DS,2010.0,Role-Playing,Nintendo  ,4.34,2.72,3.96,0.76,8.6,
329,Call of Duty: Black Ops,PS3,2010.0,Shooter,Activision  ,6.01,4.4,0.48,1.78,8.7,
330,Grand Theft Auto V,PC,2015.0,Action,Rockstar Games  ,0.48,0.76,,0.1,,
336,The Witcher 3: Wild Hunt,PS4,2015.0,Role-Playing,Warner Bros. Interactive Entertainment  ,1.48,2.82,0.28,0.81,,
347,Diablo III,PC,2012.0,Role-Playing,Blizzard Entertainment  ,2.5,2.23,,0.53,9.0,
348,Half-Life 2,PC,2004.0,Shooter,VU Games  ,2.28,0.02,0.08,,9.7,
354,Pokémon FireRed / LeafGreen Version,GBA,2004.0,Role-Playing,Nintendo  ,4.34,2.65,3.15,0.35,8.3,
356,World of Warcraft,PC,2004.0,MMO,Blizzard Entertainment  ,0.12,6.24,,,9.2,8.0
358,Gran Turismo 5,PS3,2010.0,Racing,Sony Computer Entertainment  ,2.96,4.87,0.81,2.1,8.3,
