Rank,Name,Critic_Score,User_Score
32,Wii Sports,7.7,
52,Mario Kart 8 Deluxe,9.3,
81,Super Mario Bros.,10.0,8.2
87,Mario Kart Wii,8.2,9.1
94,Tetris,,
96,Super Smash Bros. Ultimate,9.4,9.7
102,Wii Sports Resort,8.0,8.8
106,The Legend of Zelda: Breath of the Wild,9.9,10.0
107,Pokémon Red / Green / Blue Version,9.4,
114,New Super Mario Bros.,9.1,8.1
116,New Super Mario Bros. Wii,8.6,9.2
131,Duck Hunt,,
133,Wii Play,5.9,4.5
136,Super Mario Odyssey,9.9,
156,Kinect Adventures!,6.7,
158,Nintendogs,8.4,
159,Mario Kart DS,9.1,9.4
162,Pokémon Gold / Silver Version,9.2,
163,Terraria,8.8,
165,Marvel's Spider-Man,9.1,
166,Wii Fit,7.9,
174,Wii Fit Plus,8.0,
175,God of War (2018),9.7,10.0
179,Super Mario Party,7.3,
180,Super Mario World,8.5,
183,Grand Theft Auto V,9.4,
200,Grand Theft Auto V,9.7,
201,Horizon: Zero Dawn,9.1,8.0
203,Brain Age: Train Your Brain in Minutes a Day,8.1,
208,Mario Kart 7,8.2,
209,Uncharted 4: A Thief's End,9.2,
210,The Last of Us Remastered,9.5,
212,Super Mario Land,,
217,Pokémon Diamond / Pearl Version,8.6,
220,Grand Theft Auto: San Andreas,9.5,
221,Super Mario Bros. 3,,
231,Pokémon X/Y,8.9,9.3
234,Pokémon Sun/Moon,9.0,
235,Pokémon Ruby / Sapphire Version,8.8,
237,Grand Theft Auto: Vice City,9.6,
244,The Witcher 3: Wild Hunt,,
245,Grand Theft Auto V,,
248,Pokémon Black / White Version,8.6,9.0
252,Call of Duty: Black Ops 3,8.1,
255,Counter-Strike: Source,9.3,
271,Sonic the Hedgehog,,
273,Gran Turismo 3: A-Spec,9.3,
274,Brain Age 2: More Training in Minutes a Day,8.0,
276,Call of Duty: Modern Warfare 3,8.7,
277,Call of Duty: Black Ops,8.8,
279,Pokémon Yellow: Special Pikachu Edition,8.7,
280,Pokémon Omega Ruby/Pokémon Alpha Sapphire,,
284,Halo 3,9.6,9.5
297,Red Dead Redemption 2,9.8,
299,Call of Duty: Black Ops II,8.4,
300,Call of Duty: Black Ops II,8.0,
301,Splatoon 2,8.2,
302,Call of Duty: Modern Warfare 2,9.5,9.0
307,New Super Mario Bros. 2,7.5,
308,Call of Duty: WWII,8.1,
309,Call of Duty: Modern Warfare 3,8.8,
310,Super Smash Bros. Brawl,9.2,9.7
315,Grand Theft Auto III,9.5,
317,Portal 2,9.7,
318,Animal Crossing: New Leaf,8.6,
321,Minecraft,,
324,Gran Turismo Sport,,
326,Super Mario 3D Land,8.9,
327,Super Mario Galaxy,9.7,9.6
328,Pokémon Heart Gold / Soul Silver Version,8.6,
329,Call of Duty: Black Ops,8.7,
330,Grand Theft Auto V,,
336,The Witcher 3: Wild Hunt,,
347,Diablo III,9.0,
348,Half-Life 2,9.7,
354,Pokémon FireRed / LeafGreen Version,8.3,
356,World of Warcraft,9.2,8.0
358,Gran Turismo 5,8.3,
359,Super Mario 64,9.7,9.2
361,FIFA 18,8.3,
362,Gran Turismo 4,8.7,
363,Animal Crossing: Wild World,8.5,
370,Super Mario Land 2: 6 Golden Coins,9.0,
372,Grand Theft Auto IV,10.0,
373,Super Mario 64 DS,8.6,
387,StarCraft,8.7,
389,FIFA 17,8.9,
391,Gran Turismo,9.5,
392,Call of Duty: Modern Warfare 2,9.5,
393,Grand Theft Auto IV,10.0,9.0
394,Super Mario All-Stars,,9.5
399,Call of Duty: Ghosts,6.9,
403,Call of Duty: Ghosts,7.5,
420,Just Dance 2,7.3,
421,Just Dance 3,7.5,
429,RollerCoaster Tycoon 3,8.3,
444,Uncharted: The Nathan Drake Collection,,
445,Halo: Reach,9.3,
446,Portal,9.0,
447,Halo 4,,
449,Final Fantasy VII,9.6,9.5
451,Mario Kart 64,8.5,
456,Super Smash Bros. for 3DS,8.4,
459,Call of Duty 4: Modern Warfare,9.6,9.0
461,Gran Turismo 2,9.2,
464,Wii Party,7.0,
465,Call of Duty: Black Ops IIII,,
466,Mario Party DS,7.1,
467,Donkey Kong Country,9.0,
468,Half-Life,9.5,
469,Uncharted 3: Drake's Deception,9.3,6.3
470,Pokémon: Ultra Sun and Ultra Moon,8.1,
471,FIFA 19,,
488,The Elder Scrolls V: Skyrim,9.3,
489,Mario Party 8,6.5,
490,Super Mario Kart,10.0,
491,Grand Theft Auto V,9.0,9.0
493,Final Fantasy VIII,9.4,
494,Final Fantasy X,9.0,10.0
500,Call of Duty: Infinite Warfare,7.9,
501,Fallout 4,8.6,
502,Mario Kart 8,8.8,
505,Tekken 3,9.6,
507,FIFA 16,8.5,
509,The Last of Us,9.5,
511,GoldenEye 007,9.8,
512,Star Wars Battlefront (2015),7.1,
513,FIFA 13,,
520,Halo 2,9.6,
521,Harry Potter and the Sorcerer's Stone,8.0,
528,Sid Meier's Civilization V,8.9,
530,The Sims 3,8.5,
532,Grand Theft Auto: Liberty City Stories,8.8,
537,Pac-Man,,
540,Bloodborne,8.2,
541,God of War III,9.2,9.4
542,Pokémon Platinum Version,8.3,8.9
543,The Legend of Zelda: Ocarina of Time,9.9,10.0
545,Call of Duty: Advanced Warfare,8.5,
549,The Legend of Zelda: Twilight Princess,9.5,9.6
550,Call of Duty: World at War,8.5,7.8
552,Super Mario Bros. 2,,
553,Super Mario Galaxy 2,9.7,9.8
554,Super Smash Bros. Melee,9.2,
558,Call of Duty: Black Ops 3,,
559,Battlefield 3,8.5,
563,Yokai Watch 2: Bony Spirits / Fleshy Souls / Psychic Specters,,
566,Battlefield 1,9.1,
568,Battlefield 3,8.5,
571,Need for Speed Underground,8.6,
575,The Binding of Isaac,8.3,
577,Pokémon Emerald Version,7.7,
578,Ratchet & Clank (2016),,
585,Guild Wars 2,,
604,Need for Speed Underground 2,8.3,
605,Just Dance 4,,
606,Mario Kart: Double Dash!!,8.5,
608,Medal of Honor: Frontline,9.0,
609,Crash Bandicoot,7.8,
612,Uncharted 2: Among Thieves,9.5,9.6
614,Call of Duty 4: Modern Warfare,9.5,9.6
615,Tomodachi Life,7.8,
620,FIFA Soccer 12,9.2,
622,FIFA 14,,
623,Fallout 4,9.0,
625,Red Dead Redemption,9.5,
626,Donkey Kong Country Returns,8.6,
628,The Legend of Zelda,9.0,
629,Assassin's Creed III,8.8,
632,Guild Wars,8.7,
634,Red Dead Redemption,9.5,10.0
635,The Elder Scrolls V: Skyrim,9.0,
636,Luigi's Mansion: Dark Moon,8.6,
639,The Legend of Zelda: Ocarina of Time 3D,9.3,
641,Final Fantasy XII,9.4,9.5
642,Pokémon Crystal Version,8.7,
644,Minecraft,9.4,
645,FIFA 15,8.1,
646,Kingdom Hearts,8.5,
647,Myst,8.9,
648,Street Fighter II: The World Warrior,,
649,Driver,8.5,
651,Call of Duty: WWII,,
652,Tekken 7,,
653,Big Brain Academy,7.7,
654,Minecraft,,
664,Just Dance,5.4,
667,Metal Gear Solid 4: Guns of the Patriots,9.3,9.8
672,Project Gotham Racing,8.4,
673,Sonic the Hedgehog 2,,
