Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Critic_Score,User_Score,Publisher_Profile,Cluster
32,Wii Sports,Wii,2006,Sports,Nintendo,41.36,29.02,3.77,8.51,7.7,0.0,High Profile,4
52,Mario Kart 8 Deluxe,NS,2017,Racing,Nintendo,5.05,4.98,2.11,0.91,9.3,0.0,High Profile,18
81,Super Mario Bros.,NES,1985,Platform,Nintendo,29.08,3.58,6.81,0.77,10.0,8.2,High Profile,12
87,Mario Kart Wii,Wii,2008,Racing,Nintendo,15.91,12.92,3.8,3.35,8.2,9.1,High Profile,18
94,Tetris,"GB, NES",1989,Puzzle,Nintendo,26.169999999999998,2.9499999999999997,6.029999999999999,0.69,0.0,0.0,High Profile,36
96,Super Smash Bros. Ultimate,NS,2018,Fighting,Nintendo,4.22,1.72,2.41,0.61,9.4,9.7,High Profile,15
102,Wii Sports Resort,Wii,2009,Sports,Nintendo,15.61,10.99,3.29,3.02,8.0,8.8,High Profile,4
106,The Legend of Zelda: Breath of the Wild,"NS, WiiU",2017,Action-Adventure,Nintendo,5.2,3.36,1.41,0.84,9.95,10.0,High Profile,39
107,Pokémon Red / Green / Blue Version,GB,1998,Role-Playing,Nintendo,11.27,8.89,10.22,1.0,9.4,0.0,High Profile,3
114,New Super Mario Bros.,DS,2006,Platform,Nintendo,11.28,9.19,6.5,2.89,9.1,8.1,High Profile,12
116,New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,14.53,7.01,4.7,2.27,8.6,9.2,High Profile,12
131,Duck Hunt,NES,1985,Shooter,Nintendo,26.93,0.63,0.28,0.47,0.0,0.0,High Profile,23
133,Wii Play,Wii,2007,Misc,Nintendo,13.96,9.18,2.93,2.85,5.9,4.5,High Profile,9
136,Super Mario Odyssey,NS,2017,Platform,Nintendo,5.1,3.75,2.02,0.84,9.9,0.0,High Profile,12
156,Kinect Adventures!,X360,2010,Party,Microsoft Game Studios,15.09,4.97,0.24,1.81,6.7,0.0,Medium Profile,38
158,Nintendogs,DS,2005,Simulation,Nintendo,9.05,10.96,1.93,2.74,8.4,0.0,High Profile,20
159,Mario Kart DS,DS,2005,Racing,Nintendo,9.71,7.51,4.13,1.91,9.1,9.4,High Profile,18
162,Pokémon Gold / Silver Version,GB,2000,Role-Playing,Nintendo,9.0,6.18,7.2,0.71,9.2,0.0,High Profile,3
163,Terraria,"PC, PS3, X360, 3DS, PSV, PS4, WiiU, XOne",2011,Platform,Re-Logic,0.43999999999999995,0.8200000000000001,0.26,0.13999999999999999,8.3,0.0,Low Profile,37
165,Marvel's Spider-Man,PS4,2018,Action-Adventure,Sony Interactive Entertainment,3.64,3.39,0.32,1.41,9.1,0.0,Low Profile,31
