,Rank,Name,Critic_Score,User_Score
0,32,Wii Sports,7.7,
1,52,Mario Kart 8 Deluxe,9.3,
2,81,Super Mario Bros.,10.0,8.2
3,87,Mario Kart Wii,8.2,9.1
4,94,Tetris,,
5,96,Super Smash Bros. Ultimate,9.4,9.7
6,102,Wii Sports Resort,8.0,8.8
7,106,The Legend of Zelda: Breath of the Wild,9.9,10.0
8,107,Pokémon Red / Green / Blue Version,9.4,
9,114,New Super Mario Bros.,9.1,8.1
10,116,New Super Mario Bros. Wii,8.6,9.2
11,131,Duck Hunt,,
12,133,Wii Play,5.9,4.5
13,136,Super Mario Odyssey,9.9,
14,156,Kinect Adventures!,6.7,
15,158,Nintendogs,8.4,
16,159,Mario Kart DS,9.1,9.4
17,162,Pokémon Gold / Silver Version,9.2,
18,163,Terraria,8.8,
19,165,Marvel's Spider-Man,9.1,
20,166,Wii Fit,7.9,
21,174,Wii Fit Plus,8.0,
22,175,God of War (2018),9.7,10.0
23,179,Super Mario Party,7.3,
24,180,Super Mario World,8.5,
25,183,Grand Theft Auto V,9.4,
26,200,Grand Theft Auto V,9.7,
27,201,Horizon: Zero Dawn,9.1,8.0
28,203,Brain Age: Train Your Brain in Minutes a Day,8.1,
29,208,Mario Kart 7,8.2,
30,209,Uncharted 4: A Thief's End,9.2,
31,210,The Last of Us Remastered,9.5,
32,212,Super Mario Land,,
33,217,Pokémon Diamond / Pearl Version,8.6,
34,220,Grand Theft Auto: San Andreas,9.5,
35,221,Super Mario Bros. 3,,
36,231,Pokémon X/Y,8.9,9.3
37,234,Pokémon Sun/Moon,9.0,
38,235,Pokémon Ruby / Sapphire Version,8.8,
39,237,Grand Theft Auto: Vice City,9.6,
40,244,The Witcher 3: Wild Hunt,,
41,245,Grand Theft Auto V,,
42,248,Pokémon Black / White Version,8.6,9.0
43,252,Call of Duty: Black Ops 3,8.1,
44,255,Counter-Strike: Source,9.3,
45,271,Sonic the Hedgehog,,
46,273,Gran Turismo 3: A-Spec,9.3,
47,274,Brain Age 2: More Training in Minutes a Day,8.0,
48,276,Call of Duty: Modern Warfare 3,8.7,
49,277,Call of Duty: Black Ops,8.8,
50,279,Pokémon Yellow: Special Pikachu Edition,8.7,
51,280,Pokémon Omega Ruby/Pokémon Alpha Sapphire,,
52,284,Halo 3,9.6,9.5
53,297,Red Dead Redemption 2,9.8,
54,299,Call of Duty: Black Ops II,8.4,
55,300,Call of Duty: Black Ops II,8.0,
56,301,Splatoon 2,8.2,
57,302,Call of Duty: Modern Warfare 2,9.5,9.0
58,307,New Super Mario Bros. 2,7.5,
59,308,Call of Duty: WWII,8.1,
60,309,Call of Duty: Modern Warfare 3,8.8,
61,310,Super Smash Bros. Brawl,9.2,9.7
62,315,Grand Theft Auto III,9.5,
63,317,Portal 2,9.7,
64,318,Animal Crossing: New Leaf,8.6,
65,321,Minecraft,,
66,324,Gran Turismo Sport,,
67,326,Super Mario 3D Land,8.9,
68,327,Super Mario Galaxy,9.7,9.6
69,328,Pokémon Heart Gold / Soul Silver Version,8.6,
70,329,Call of Duty: Black Ops,8.7,
71,330,Grand Theft Auto V,,
72,336,The Witcher 3: Wild Hunt,,
73,347,Diablo III,9.0,
74,348,Half-Life 2,9.7,
75,354,Pokémon FireRed / LeafGreen Version,8.3,
76,356,World of Warcraft,9.2,8.0
77,358,Gran Turismo 5,8.3,
78,359,Super Mario 64,9.7,9.2
79,361,FIFA 18,8.3,
80,362,Gran Turismo 4,8.7,
81,363,Animal Crossing: Wild World,8.5,
82,370,Super Mario Land 2: 6 Golden Coins,9.0,
83,372,Grand Theft Auto IV,10.0,
84,373,Super Mario 64 DS,8.6,
85,387,StarCraft,8.7,
86,389,FIFA 17,8.9,
87,391,Gran Turismo,9.5,
88,392,Call of Duty: Modern Warfare 2,9.5,
89,393,Grand Theft Auto IV,10.0,9.0
90,394,Super Mario All-Stars,,9.5
91,399,Call of Duty: Ghosts,6.9,
92,403,Call of Duty: Ghosts,7.5,
93,420,Just Dance 2,7.3,
94,421,Just Dance 3,7.5,
95,429,RollerCoaster Tycoon 3,8.3,
96,444,Uncharted: The Nathan Drake Collection,,
97,445,Halo: Reach,9.3,
98,446,Portal,9.0,
99,447,Halo 4,,
100,449,Final Fantasy VII,9.6,9.5
101,451,Mario Kart 64,8.5,
102,456,Super Smash Bros. for 3DS,8.4,
103,459,Call of Duty 4: Modern Warfare,9.6,9.0
104,461,Gran Turismo 2,9.2,
105,464,Wii Party,7.0,
